mixture_path,vocals_path,drums_path,bass_path,other_path,duration
Datasets\Db2\Db_034\mixture.wav,Datasets\Db2\Db_034\vocals.wav,Datasets\Db2\Db_034\drums.wav,Datasets\Db2\Db_034\bass.wav,Datasets\Db2\Db_034\other.wav,210.5
Datasets\Db2\Db_183\mixture.wav,Datasets\Db2\Db_183\vocals.wav,Datasets\Db2\Db_183\drums.wav,Datasets\Db2\Db_183\bass.wav,Datasets\Db2\Db_183\other.wav,206.0
Datasets\Db2\Db_089\mixture.wav,Datasets\Db2\Db_089\vocals.wav,Datasets\Db2\Db_089\drums.wav,Datasets\Db2\Db_089\bass.wav,Datasets\Db2\Db_089\other.wav,195.0
Datasets\Db3\Db_092\mixture.wav,Datasets\Db3\Db_092\vocals.wav,Datasets\Db3\Db_092\drums.wav,Datasets\Db3\Db_092\bass.wav,Datasets\Db3\Db_092\other.wav,25.949160997732427
Datasets\Db4\Db_005\mixture.wav,Datasets\Db4\Db_005\vocals.wav,Datasets\Db4\Db_005\drums.wav,Datasets\Db4\Db_005\bass.wav,Datasets\Db4\Db_005\other.wav,491.70698412698414
Datasets\Db2\Db_192\mixture.wav,Datasets\Db2\Db_192\vocals.wav,Datasets\Db2\Db_192\drums.wav,Datasets\Db2\Db_192\bass.wav,Datasets\Db2\Db_192\other.wav,101.72727891156462
Datasets\Db3\Db_103\mixture.wav,Datasets\Db3\Db_103\vocals.wav,Datasets\Db3\Db_103\drums.wav,Datasets\Db3\Db_103\bass.wav,Datasets\Db3\Db_103\other.wav,212.2455328798186
Datasets\Db2\Db_033\mixture.wav,Datasets\Db2\Db_033\vocals.wav,Datasets\Db2\Db_033\drums.wav,Datasets\Db2\Db_033\bass.wav,Datasets\Db2\Db_033\other.wav,200.0
Datasets\Db3\Db_011\mixture.wav,Datasets\Db3\Db_011\vocals.wav,Datasets\Db3\Db_011\drums.wav,Datasets\Db3\Db_011\bass.wav,Datasets\Db3\Db_011\other.wav,514.488231292517
Datasets\Db2\Db_132\mixture.wav,Datasets\Db2\Db_132\vocals.wav,Datasets\Db2\Db_132\drums.wav,Datasets\Db2\Db_132\bass.wav,Datasets\Db2\Db_132\other.wav,223.52113378684808
Datasets\Db3\Db_119\mixture.wav,Datasets\Db3\Db_119\vocals.wav,Datasets\Db3\Db_119\drums.wav,Datasets\Db3\Db_119\bass.wav,Datasets\Db3\Db_119\other.wav,289.4614739229025
Datasets\Db2\Db_084\mixture.wav,Datasets\Db2\Db_084\vocals.wav,Datasets\Db2\Db_084\drums.wav,Datasets\Db2\Db_084\bass.wav,Datasets\Db2\Db_084\other.wav,201.3157823129252
Datasets\Db2\Db_025\mixture.wav,Datasets\Db2\Db_025\vocals.wav,Datasets\Db2\Db_025\drums.wav,Datasets\Db2\Db_025\bass.wav,Datasets\Db2\Db_025\other.wav,320.0
Datasets\Db1\Db_022\mixture.wav,Datasets\Db1\Db_022\vocals.wav,Datasets\Db1\Db_022\drums.wav,Datasets\Db1\Db_022\bass.wav,Datasets\Db1\Db_022\other.wav,365.0
Datasets\Db2\Db_011\mixture.wav,Datasets\Db2\Db_011\vocals.wav,Datasets\Db2\Db_011\drums.wav,Datasets\Db2\Db_011\bass.wav,Datasets\Db2\Db_011\other.wav,176.86049886621316
Datasets\Db3\Db_145\mixture.wav,Datasets\Db3\Db_145\vocals.wav,Datasets\Db3\Db_145\drums.wav,Datasets\Db3\Db_145\bass.wav,Datasets\Db3\Db_145\other.wav,207.8973242630385
Datasets\Db4\Db_002\mixture.wav,Datasets\Db4\Db_002\vocals.wav,Datasets\Db4\Db_002\drums.wav,Datasets\Db4\Db_002\bass.wav,Datasets\Db4\Db_002\other.wav,140.85897959183674
Datasets\Db2\Db_002\mixture.wav,Datasets\Db2\Db_002\vocals.wav,Datasets\Db2\Db_002\drums.wav,Datasets\Db2\Db_002\bass.wav,Datasets\Db2\Db_002\other.wav,240.42374149659864
Datasets\Db1\Db_014\mixture.wav,Datasets\Db1\Db_014\vocals.wav,Datasets\Db1\Db_014\drums.wav,Datasets\Db1\Db_014\bass.wav,Datasets\Db1\Db_014\other.wav,441.5680045351474
Datasets\Db3\Db_102\mixture.wav,Datasets\Db3\Db_102\vocals.wav,Datasets\Db3\Db_102\drums.wav,Datasets\Db3\Db_102\bass.wav,Datasets\Db3\Db_102\other.wav,221.59820861678008
Datasets\Db4\Db_005\mixture.wav,Datasets\Db4\Db_005\vocals.wav,Datasets\Db4\Db_005\drums.wav,Datasets\Db4\Db_005\bass.wav,Datasets\Db4\Db_005\other.wav,491.70698412698414
Datasets\Db4\Db_000\mixture.wav,Datasets\Db4\Db_000\vocals.wav,Datasets\Db4\Db_000\drums.wav,Datasets\Db4\Db_000\bass.wav,Datasets\Db4\Db_000\other.wav,193.28598639455785
Datasets\Db2\Db_007\mixture.wav,Datasets\Db2\Db_007\vocals.wav,Datasets\Db2\Db_007\drums.wav,Datasets\Db2\Db_007\bass.wav,Datasets\Db2\Db_007\other.wav,176.43244897959184
Datasets\Db4\Db_008\mixture.wav,Datasets\Db4\Db_008\vocals.wav,Datasets\Db4\Db_008\drums.wav,Datasets\Db4\Db_008\bass.wav,Datasets\Db4\Db_008\other.wav,169.2409977324263
Datasets\Db3\Db_034\mixture.wav,Datasets\Db3\Db_034\vocals.wav,Datasets\Db3\Db_034\drums.wav,Datasets\Db3\Db_034\bass.wav,Datasets\Db3\Db_034\other.wav,254.1339229024944
Datasets\Db3\Db_073\mixture.wav,Datasets\Db3\Db_073\vocals.wav,Datasets\Db3\Db_073\drums.wav,Datasets\Db3\Db_073\bass.wav,Datasets\Db3\Db_073\other.wav,270.0
Datasets\Db4\Db_006\mixture.wav,Datasets\Db4\Db_006\vocals.wav,Datasets\Db4\Db_006\drums.wav,Datasets\Db4\Db_006\bass.wav,Datasets\Db4\Db_006\other.wav,172.81698412698412
Datasets\Db3\Db_099\mixture.wav,Datasets\Db3\Db_099\vocals.wav,Datasets\Db3\Db_099\drums.wav,Datasets\Db3\Db_099\bass.wav,Datasets\Db3\Db_099\other.wav,289.9821315192744
Datasets\Db3\Db_126\mixture.wav,Datasets\Db3\Db_126\vocals.wav,Datasets\Db3\Db_126\drums.wav,Datasets\Db3\Db_126\bass.wav,Datasets\Db3\Db_126\other.wav,246.99065759637188
Datasets\Db4\Db_006\mixture.wav,Datasets\Db4\Db_006\vocals.wav,Datasets\Db4\Db_006\drums.wav,Datasets\Db4\Db_006\bass.wav,Datasets\Db4\Db_006\other.wav,172.81698412698412
Datasets\Db1\Db_069\mixture.wav,Datasets\Db1\Db_069\vocals.wav,Datasets\Db1\Db_069\drums.wav,Datasets\Db1\Db_069\bass.wav,Datasets\Db1\Db_069\other.wav,49.0
Datasets\Db4\Db_001\mixture.wav,Datasets\Db4\Db_001\vocals.wav,Datasets\Db4\Db_001\drums.wav,Datasets\Db4\Db_001\bass.wav,Datasets\Db4\Db_001\other.wav,460.3279818594104
Datasets\Db3\Db_043\mixture.wav,Datasets\Db3\Db_043\vocals.wav,Datasets\Db3\Db_043\drums.wav,Datasets\Db3\Db_043\bass.wav,Datasets\Db3\Db_043\other.wav,192.0
Datasets\Db2\Db_045\mixture.wav,Datasets\Db2\Db_045\vocals.wav,Datasets\Db2\Db_045\drums.wav,Datasets\Db2\Db_045\bass.wav,Datasets\Db2\Db_045\other.wav,202.43478458049887
Datasets\Db2\Db_046\mixture.wav,Datasets\Db2\Db_046\vocals.wav,Datasets\Db2\Db_046\drums.wav,Datasets\Db2\Db_046\bass.wav,Datasets\Db2\Db_046\other.wav,75.0
Datasets\Db4\Db_005\mixture.wav,Datasets\Db4\Db_005\vocals.wav,Datasets\Db4\Db_005\drums.wav,Datasets\Db4\Db_005\bass.wav,Datasets\Db4\Db_005\other.wav,491.70698412698414
Datasets\Db3\Db_148\mixture.wav,Datasets\Db3\Db_148\vocals.wav,Datasets\Db3\Db_148\drums.wav,Datasets\Db3\Db_148\bass.wav,Datasets\Db3\Db_148\other.wav,277.9944671201814
Datasets\Db3\Db_071\mixture.wav,Datasets\Db3\Db_071\vocals.wav,Datasets\Db3\Db_071\drums.wav,Datasets\Db3\Db_071\bass.wav,Datasets\Db3\Db_071\other.wav,628.5580045351473
Datasets\Db4\Db_006\mixture.wav,Datasets\Db4\Db_006\vocals.wav,Datasets\Db4\Db_006\drums.wav,Datasets\Db4\Db_006\bass.wav,Datasets\Db4\Db_006\other.wav,172.81698412698412
Datasets\Db4\Db_004\mixture.wav,Datasets\Db4\Db_004\vocals.wav,Datasets\Db4\Db_004\drums.wav,Datasets\Db4\Db_004\bass.wav,Datasets\Db4\Db_004\other.wav,174.58
Datasets\Db2\Db_142\mixture.wav,Datasets\Db2\Db_142\vocals.wav,Datasets\Db2\Db_142\drums.wav,Datasets\Db2\Db_142\bass.wav,Datasets\Db2\Db_142\other.wav,153.6734693877551
Datasets\Db4\Db_007\mixture.wav,Datasets\Db4\Db_007\vocals.wav,Datasets\Db4\Db_007\drums.wav,Datasets\Db4\Db_007\bass.wav,Datasets\Db4\Db_007\other.wav,152.45897959183674
Datasets\Db2\Db_130\mixture.wav,Datasets\Db2\Db_130\vocals.wav,Datasets\Db2\Db_130\drums.wav,Datasets\Db2\Db_130\bass.wav,Datasets\Db2\Db_130\other.wav,174.18750566893425
Datasets\Db2\Db_211\mixture.wav,Datasets\Db2\Db_211\vocals.wav,Datasets\Db2\Db_211\drums.wav,Datasets\Db2\Db_211\bass.wav,Datasets\Db2\Db_211\other.wav,223.3548526077097
Datasets\Db1\Db_002\mixture.wav,Datasets\Db1\Db_002\vocals.wav,Datasets\Db1\Db_002\drums.wav,Datasets\Db1\Db_002\bass.wav,Datasets\Db1\Db_002\other.wav,266.24
Datasets\Db2\Db_121\mixture.wav,Datasets\Db2\Db_121\vocals.wav,Datasets\Db2\Db_121\drums.wav,Datasets\Db2\Db_121\bass.wav,Datasets\Db2\Db_121\other.wav,194.0
Datasets\Db3\Db_111\mixture.wav,Datasets\Db3\Db_111\vocals.wav,Datasets\Db3\Db_111\drums.wav,Datasets\Db3\Db_111\bass.wav,Datasets\Db3\Db_111\other.wav,324.6857142857143
Datasets\Db3\Db_020\mixture.wav,Datasets\Db3\Db_020\vocals.wav,Datasets\Db3\Db_020\drums.wav,Datasets\Db3\Db_020\bass.wav,Datasets\Db3\Db_020\other.wav,254.9107029478458
Datasets\Db3\Db_031\mixture.wav,Datasets\Db3\Db_031\vocals.wav,Datasets\Db3\Db_031\drums.wav,Datasets\Db3\Db_031\bass.wav,Datasets\Db3\Db_031\other.wav,175.43031746031747
Datasets\Db1\Db_036\mixture.wav,Datasets\Db1\Db_036\vocals.wav,Datasets\Db1\Db_036\drums.wav,Datasets\Db1\Db_036\bass.wav,Datasets\Db1\Db_036\other.wav,319.97868480725623
Datasets\Db2\Db_009\mixture.wav,Datasets\Db2\Db_009\vocals.wav,Datasets\Db2\Db_009\drums.wav,Datasets\Db2\Db_009\bass.wav,Datasets\Db2\Db_009\other.wav,212.0
Datasets\Db3\Db_109\mixture.wav,Datasets\Db3\Db_109\vocals.wav,Datasets\Db3\Db_109\drums.wav,Datasets\Db3\Db_109\bass.wav,Datasets\Db3\Db_109\other.wav,243.68303854875285
Datasets\Db3\Db_108\mixture.wav,Datasets\Db3\Db_108\vocals.wav,Datasets\Db3\Db_108\drums.wav,Datasets\Db3\Db_108\bass.wav,Datasets\Db3\Db_108\other.wav,251.09587301587305
Datasets\Db1\Db_027\mixture.wav,Datasets\Db1\Db_027\vocals.wav,Datasets\Db1\Db_027\drums.wav,Datasets\Db1\Db_027\bass.wav,Datasets\Db1\Db_027\other.wav,334.9822902494331
Datasets\Db4\Db_003\mixture.wav,Datasets\Db4\Db_003\vocals.wav,Datasets\Db4\Db_003\drums.wav,Datasets\Db4\Db_003\bass.wav,Datasets\Db4\Db_003\other.wav,223.6549886621316
Datasets\Db1\Db_028\mixture.wav,Datasets\Db1\Db_028\vocals.wav,Datasets\Db1\Db_028\drums.wav,Datasets\Db1\Db_028\bass.wav,Datasets\Db1\Db_028\other.wav,201.3634467120181
Datasets\Db1\Db_060\mixture.wav,Datasets\Db1\Db_060\vocals.wav,Datasets\Db1\Db_060\drums.wav,Datasets\Db1\Db_060\bass.wav,Datasets\Db1\Db_060\other.wav,254.67478458049888
Datasets\Db2\Db_117\mixture.wav,Datasets\Db2\Db_117\vocals.wav,Datasets\Db2\Db_117\drums.wav,Datasets\Db2\Db_117\bass.wav,Datasets\Db2\Db_117\other.wav,225.1578911564626
Datasets\Db3\Db_000\mixture.wav,Datasets\Db3\Db_000\vocals.wav,Datasets\Db3\Db_000\drums.wav,Datasets\Db3\Db_000\bass.wav,Datasets\Db3\Db_000\other.wav,171.4401814058957
Datasets\Db2\Db_137\mixture.wav,Datasets\Db2\Db_137\vocals.wav,Datasets\Db2\Db_137\drums.wav,Datasets\Db2\Db_137\bass.wav,Datasets\Db2\Db_137\other.wav,244.92857142857144
Datasets\Db2\Db_197\mixture.wav,Datasets\Db2\Db_197\vocals.wav,Datasets\Db2\Db_197\drums.wav,Datasets\Db2\Db_197\bass.wav,Datasets\Db2\Db_197\other.wav,75.9
Datasets\Db3\Db_104\mixture.wav,Datasets\Db3\Db_104\vocals.wav,Datasets\Db3\Db_104\drums.wav,Datasets\Db3\Db_104\bass.wav,Datasets\Db3\Db_104\other.wav,242.7134693877551
Datasets\Db4\Db_008\mixture.wav,Datasets\Db4\Db_008\vocals.wav,Datasets\Db4\Db_008\drums.wav,Datasets\Db4\Db_008\bass.wav,Datasets\Db4\Db_008\other.wav,169.2409977324263
Datasets\Db1\Db_002\mixture.wav,Datasets\Db1\Db_002\vocals.wav,Datasets\Db1\Db_002\drums.wav,Datasets\Db1\Db_002\bass.wav,Datasets\Db1\Db_002\other.wav,266.24
Datasets\Db4\Db_001\mixture.wav,Datasets\Db4\Db_001\vocals.wav,Datasets\Db4\Db_001\drums.wav,Datasets\Db4\Db_001\bass.wav,Datasets\Db4\Db_001\other.wav,460.3279818594104
Datasets\Db2\Db_173\mixture.wav,Datasets\Db2\Db_173\vocals.wav,Datasets\Db2\Db_173\drums.wav,Datasets\Db2\Db_173\bass.wav,Datasets\Db2\Db_173\other.wav,100.85714285714286
Datasets\Db4\Db_001\mixture.wav,Datasets\Db4\Db_001\vocals.wav,Datasets\Db4\Db_001\drums.wav,Datasets\Db4\Db_001\bass.wav,Datasets\Db4\Db_001\other.wav,460.3279818594104
Datasets\Db2\Db_135\mixture.wav,Datasets\Db2\Db_135\vocals.wav,Datasets\Db2\Db_135\drums.wav,Datasets\Db2\Db_135\bass.wav,Datasets\Db2\Db_135\other.wav,260.0
Datasets\Db4\Db_000\mixture.wav,Datasets\Db4\Db_000\vocals.wav,Datasets\Db4\Db_000\drums.wav,Datasets\Db4\Db_000\bass.wav,Datasets\Db4\Db_000\other.wav,193.28598639455785
Datasets\Db4\Db_005\mixture.wav,Datasets\Db4\Db_005\vocals.wav,Datasets\Db4\Db_005\drums.wav,Datasets\Db4\Db_005\bass.wav,Datasets\Db4\Db_005\other.wav,491.70698412698414
Datasets\Db1\Db_037\mixture.wav,Datasets\Db1\Db_037\vocals.wav,Datasets\Db1\Db_037\drums.wav,Datasets\Db1\Db_037\bass.wav,Datasets\Db1\Db_037\other.wav,367.8108163265306
Datasets\Db1\Db_069\mixture.wav,Datasets\Db1\Db_069\vocals.wav,Datasets\Db1\Db_069\drums.wav,Datasets\Db1\Db_069\bass.wav,Datasets\Db1\Db_069\other.wav,49.0
Datasets\Db2\Db_078\mixture.wav,Datasets\Db2\Db_078\vocals.wav,Datasets\Db2\Db_078\drums.wav,Datasets\Db2\Db_078\bass.wav,Datasets\Db2\Db_078\other.wav,103.0
Datasets\Db2\Db_019\mixture.wav,Datasets\Db2\Db_019\vocals.wav,Datasets\Db2\Db_019\drums.wav,Datasets\Db2\Db_019\bass.wav,Datasets\Db2\Db_019\other.wav,241.5189795918368
Datasets\Db4\Db_003\mixture.wav,Datasets\Db4\Db_003\vocals.wav,Datasets\Db4\Db_003\drums.wav,Datasets\Db4\Db_003\bass.wav,Datasets\Db4\Db_003\other.wav,223.6549886621316
Datasets\Db4\Db_006\mixture.wav,Datasets\Db4\Db_006\vocals.wav,Datasets\Db4\Db_006\drums.wav,Datasets\Db4\Db_006\bass.wav,Datasets\Db4\Db_006\other.wav,172.81698412698412
Datasets\Db2\Db_174\mixture.wav,Datasets\Db2\Db_174\vocals.wav,Datasets\Db2\Db_174\drums.wav,Datasets\Db2\Db_174\bass.wav,Datasets\Db2\Db_174\other.wav,194.28571428571428
Datasets\Db3\Db_066\mixture.wav,Datasets\Db3\Db_066\vocals.wav,Datasets\Db3\Db_066\drums.wav,Datasets\Db3\Db_066\bass.wav,Datasets\Db3\Db_066\other.wav,264.58036281179136
Datasets\Db4\Db_006\mixture.wav,Datasets\Db4\Db_006\vocals.wav,Datasets\Db4\Db_006\drums.wav,Datasets\Db4\Db_006\bass.wav,Datasets\Db4\Db_006\other.wav,172.81698412698412
Datasets\Db3\Db_055\mixture.wav,Datasets\Db3\Db_055\vocals.wav,Datasets\Db3\Db_055\drums.wav,Datasets\Db3\Db_055\bass.wav,Datasets\Db3\Db_055\other.wav,218.69419501133788
Datasets\Db1\Db_014\mixture.wav,Datasets\Db1\Db_014\vocals.wav,Datasets\Db1\Db_014\drums.wav,Datasets\Db1\Db_014\bass.wav,Datasets\Db1\Db_014\other.wav,441.5680045351474
Datasets\Db3\Db_082\mixture.wav,Datasets\Db3\Db_082\vocals.wav,Datasets\Db3\Db_082\drums.wav,Datasets\Db3\Db_082\bass.wav,Datasets\Db3\Db_082\other.wav,36.78886621315193
Datasets\Db4\Db_005\mixture.wav,Datasets\Db4\Db_005\vocals.wav,Datasets\Db4\Db_005\drums.wav,Datasets\Db4\Db_005\bass.wav,Datasets\Db4\Db_005\other.wav,491.70698412698414
Datasets\Db1\Db_067\mixture.wav,Datasets\Db1\Db_067\vocals.wav,Datasets\Db1\Db_067\drums.wav,Datasets\Db1\Db_067\bass.wav,Datasets\Db1\Db_067\other.wav,146.51530612244898
Datasets\Db4\Db_002\mixture.wav,Datasets\Db4\Db_002\vocals.wav,Datasets\Db4\Db_002\drums.wav,Datasets\Db4\Db_002\bass.wav,Datasets\Db4\Db_002\other.wav,140.85897959183674
Datasets\Db1\Db_051\mixture.wav,Datasets\Db1\Db_051\vocals.wav,Datasets\Db1\Db_051\drums.wav,Datasets\Db1\Db_051\bass.wav,Datasets\Db1\Db_051\other.wav,371.2
Datasets\Db2\Db_175\mixture.wav,Datasets\Db2\Db_175\vocals.wav,Datasets\Db2\Db_175\drums.wav,Datasets\Db2\Db_175\bass.wav,Datasets\Db2\Db_175\other.wav,194.7499092970521
Datasets\Db2\Db_169\mixture.wav,Datasets\Db2\Db_169\vocals.wav,Datasets\Db2\Db_169\drums.wav,Datasets\Db2\Db_169\bass.wav,Datasets\Db2\Db_169\other.wav,339.6250113378685
Datasets\Db2\Db_075\mixture.wav,Datasets\Db2\Db_075\vocals.wav,Datasets\Db2\Db_075\drums.wav,Datasets\Db2\Db_075\bass.wav,Datasets\Db2\Db_075\other.wav,159.6
Datasets\Db3\Db_002\mixture.wav,Datasets\Db3\Db_002\vocals.wav,Datasets\Db3\Db_002\drums.wav,Datasets\Db3\Db_002\bass.wav,Datasets\Db3\Db_002\other.wav,238.0491156462585
Datasets\Db2\Db_201\mixture.wav,Datasets\Db2\Db_201\vocals.wav,Datasets\Db2\Db_201\drums.wav,Datasets\Db2\Db_201\bass.wav,Datasets\Db2\Db_201\other.wav,196.3636507936508
Datasets\Db4\Db_005\mixture.wav,Datasets\Db4\Db_005\vocals.wav,Datasets\Db4\Db_005\drums.wav,Datasets\Db4\Db_005\bass.wav,Datasets\Db4\Db_005\other.wav,491.70698412698414
Datasets\Db4\Db_001\mixture.wav,Datasets\Db4\Db_001\vocals.wav,Datasets\Db4\Db_001\drums.wav,Datasets\Db4\Db_001\bass.wav,Datasets\Db4\Db_001\other.wav,460.3279818594104
Datasets\Db4\Db_006\mixture.wav,Datasets\Db4\Db_006\vocals.wav,Datasets\Db4\Db_006\drums.wav,Datasets\Db4\Db_006\bass.wav,Datasets\Db4\Db_006\other.wav,172.81698412698412
